token_id,annotator_id,batch_name,is_overlap
00000_AA_27_male_27-123349-0036_2.1,ian,pilot_batch_1,FALSE
00001_AA_27_male_27-124992-0068_1.66,ian,pilot_batch_1,FALSE
00002_AA_27_male_27-124992-0001_5.91,ian,pilot_batch_1,FALSE
00003_AA_27_male_27-124992-0033_4.09,ian,pilot_batch_1,FALSE
00004_AA_27_male_27-123349-0025_2.74,ian,pilot_batch_1,FALSE
00005_AE_27_male_27-123349-0017_12.26,ian,pilot_batch_1,FALSE
00006_AE_27_male_27-123349-0043_14.42,ian,pilot_batch_1,FALSE
00007_AE_27_male_27-124992-0074_0.23,ian,pilot_batch_1,FALSE
00008_AE_27_male_27-123349-0021_4.37,ian,pilot_batch_1,FALSE
00009_AE_27_male_27-123349-0026_2.63,ian,pilot_batch_1,FALSE
00010_AH_27_male_27-123349-0018_2.57,ian,pilot_batch_1,FALSE
00011_AH_27_male_27-123349-0012_10.19,ian,pilot_batch_1,FALSE
00012_AH_27_male_27-123349-0056_1.8,ian,pilot_batch_1,FALSE
00013_AH_27_male_27-123349-0044_14.65,ian,pilot_batch_1,FALSE
00014_AH_27_male_27-123349-0058_2.68,ian,pilot_batch_1,FALSE
00015_AO_27_male_27-123349-0032_13.54,ian,pilot_batch_1,FALSE
00016_AO_27_male_27-124992-0027_1.92,ian,pilot_batch_1,FALSE
00017_AO_27_male_27-124992-0059_1.28,ian,pilot_batch_1,FALSE
00018_AO_27_male_27-124992-0028_3.54,ian,pilot_batch_1,FALSE
00019_AO_27_male_27-124992-0041_11.48,ian,pilot_batch_1,FALSE
00020_AW_27_male_27-124992-0038_3.24,ian,pilot_batch_1,FALSE
00021_AW_27_male_27-123349-0004_14.66,ian,pilot_batch_1,FALSE
00022_AW_27_male_27-124992-0006_0.61,ian,pilot_batch_1,FALSE
00023_AW_27_male_27-124992-0064_1.24,ian,pilot_batch_1,FALSE
00024_AW_27_male_27-124992-0070_2.43,ian,pilot_batch_1,FALSE
00025_AY_27_male_27-124992-0067_3.65,ian,pilot_batch_1,FALSE
00026_AY_27_male_27-123349-0026_3.64,ian,pilot_batch_1,FALSE
00027_AY_27_male_27-123349-0034_7.17,ian,pilot_batch_1,FALSE
00028_AY_27_male_27-123349-0029_0.54,ian,pilot_batch_1,FALSE
00029_AY_27_male_27-123349-0004_13.4,ian,pilot_batch_1,FALSE
00030_EH_27_male_27-124992-0033_3.1,ian,pilot_batch_1,FALSE
00031_EH_27_male_27-123349-0000_6.86,ian,pilot_batch_1,FALSE
00032_EH_27_male_27-123349-0034_3.92,ian,pilot_batch_1,FALSE
00033_EH_27_male_27-123349-0020_5.41,ian,pilot_batch_1,FALSE
00034_EH_27_male_27-124992-0001_6.56,ian,pilot_batch_1,FALSE
00035_ER_27_male_27-123349-0041_5.37,ian,pilot_batch_1,FALSE
00036_ER_27_male_27-123349-0048_10.28,ian,pilot_batch_1,FALSE
00037_ER_27_male_27-123349-0029_15.66,ian,pilot_batch_1,FALSE
00038_ER_27_male_27-124992-0069_1.99,ian,pilot_batch_1,FALSE
00039_ER_27_male_27-124992-0007_5.6,ian,pilot_batch_1,FALSE
00040_EY_27_male_27-124992-0049_1.92,ian,pilot_batch_1,FALSE
00041_EY_27_male_27-123349-0049_9.42,ian,pilot_batch_1,FALSE
00042_EY_27_male_27-123349-0017_3.74,ian,pilot_batch_1,FALSE
00043_EY_27_male_27-123349-0047_14.8,ian,pilot_batch_1,FALSE
00044_EY_27_male_27-123349-0045_7.79,ian,pilot_batch_1,FALSE
00045_IH_27_male_27-124992-0015_0.58,ian,pilot_batch_1,FALSE
00046_IH_27_male_27-123349-0018_0.58,ian,pilot_batch_1,FALSE
00047_IH_27_male_27-123349-0033_3.42,ian,pilot_batch_1,FALSE
00048_IH_27_male_27-123349-0022_4.28,ian,pilot_batch_1,FALSE
00049_IH_27_male_27-123349-0014_3.98,ian,pilot_batch_1,FALSE
